Section	.text	.rodata	.data	.bss	.bssSize	.sdata	.sbss
LibSnd::DE_4	800CF4B8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::CCADSR	800cf568	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_5	800CF668	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_6	800CF728	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_7	800CF7D8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_8	800CF888	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_9	800CF938	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_10	800CF9F8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_11	800CFAA8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_12	800CFB58	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_13	800CFC38	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_14	800CFCD8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_15	800CFD78	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_16	800CFDA8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_17	800CFDD8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_18	800CFE08	N/A	N/A	N/A	0	N/A	N/A
LibSnd::DE_19	800CFE38	N/A	N/A	N/A	0	N/A	N/A
LibSnd::MIDIBEND	800cfe68	N/A	N/A	N/A	0	N/A	N/A
LibSnd::MIDICC	800cff18	N/A	N/A	N/A	0	N/A	N/A
LibSnd::MIDIMETA	800d0148	N/A	N/A	N/A	0	N/A	N/A
LibSnd::MIDINOTE	800d0318	N/A	N/A	N/A	0	N/A	N/A
LibSnd::MIDIPROG	800d03f8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SEQINIT	800d0468	80038d3c	N/A	N/A	0	N/A	N/A
LibSnd::SSPAUSE	800d07b8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSPLAY	800d08d8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSPLAYB	800d0918	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSQUIT	800d09d8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_Q	800d09f8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::SSREPLAY	800d0a78	N/A	N/A	N/A	0	N/A	N/A
LibSnd::PLAYMODE	800d0b68	N/A	N/A	N/A	0	N/A	N/A
